pValue,p=1_Sum,p=1_STD,p=1_STDp,p=-3_Sum,p=-3_STD,p=-3_STDp,p=-5_Sum,p=-5_STD,p=-5_STDp,p=-8_Sum,p=-8_STD,p=-8_STDp
Target black people,30.81,5.96,2.27,30.33,6.01,2.29,30.42,6.02,2.30,30.56,6.05,2.34
Target disabled people,50.97,11.77,4.78,67.79,12.23,5.02,79.63,12.54,5.39,98.85,13.04,6.21
Target gay people,19.40,3.59,1.36,19.45,3.60,1.37,19.47,3.60,1.37,19.51,3.61,1.38
Target immigrants,39.63,8.14,3.14,43.52,8.28,3.20,45.89,8.36,3.29,52.13,8.49,3.51
Target jews,33.63,7.22,2.74,35.99,7.29,2.77,37.12,7.33,2.80,38.72,7.38,2.86
Target muslims,45.21,8.31,2.95,48.99,8.44,3.00,51.07,8.51,3.06,54.25,8.62,3.21
Target trans people,38.50,7.99,2.87,38.47,8.08,2.90,38.68,8.13,2.93,38.97,8.19,3.00
Target women,9.71,2.66,1.01,9.72,2.66,1.01,9.73,2.66,1.02,10.16,2.66,1.02
Langage dutch,66.28,9.45,3.30,71.21,9.63,3.36,73.68,9.71,3.43,77.22,9.84,3.57
Langage french,40.33,6.67,2.54,40.16,6.72,2.56,40.31,6.75,2.58,40.51,6.78,2.62
Langage french_bis,38.05,5.73,2.24,38.30,5.77,2.25,38.41,5.78,2.27,38.58,5.81,2.30
Langage italian,34.48,4.78,1.88,33.76,4.80,1.89,33.42,4.81,1.90,32.94,4.83,1.92
Langage portuguese,60.34,8.36,3.20,64.38,8.49,3.25,66.59,8.56,3.32,70.00,8.67,3.48
Langage spanish,56.89,9.67,3.60,60.81,9.84,3.65,62.88,9.91,3.71,65.76,10.02,3.83
